video_views,quiz_done_theory,quiz_done_application,pdf_views,chapter,quiz_score,cluster,cluster_name
0,4,3,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,3,2,2,1,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,3,2,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,5,2,0,"Skipper (đi nhanh, ít học)"
1,2,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
4,2,2,0,5,3,0,"Skipper (đi nhanh, ít học)"
3,0,0,3,4,1,0,"Skipper (đi nhanh, ít học)"
0,2,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
1,2,0,1,2,0,0,"Skipper (đi nhanh, ít học)"
2,2,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
4,2,1,0,3,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
4,2,2,0,4,1,0,"Skipper (đi nhanh, ít học)"
3,2,1,1,1,2,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,6,0,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
3,3,0,1,6,2,0,"Skipper (đi nhanh, ít học)"
2,1,1,2,4,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,3,1,0,"Skipper (đi nhanh, ít học)"
3,2,1,2,1,2,0,"Skipper (đi nhanh, ít học)"
0,3,1,0,5,2,0,"Skipper (đi nhanh, ít học)"
3,2,1,2,1,1,0,"Skipper (đi nhanh, ít học)"
1,3,1,0,6,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,1,3,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,4,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,1,2,0,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,2,0,0,"Skipper (đi nhanh, ít học)"
1,3,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
4,2,1,0,2,2,0,"Skipper (đi nhanh, ít học)"
1,1,1,1,1,0,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,3,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,3,4,0,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,1,0,0,"Skipper (đi nhanh, ít học)"
2,3,1,0,6,1,0,"Skipper (đi nhanh, ít học)"
3,0,0,3,1,0,0,"Skipper (đi nhanh, ít học)"
2,3,2,0,6,2,0,"Skipper (đi nhanh, ít học)"
2,1,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,2,2,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,4,1,0,"Skipper (đi nhanh, ít học)"
4,1,0,0,2,2,0,"Skipper (đi nhanh, ít học)"
0,3,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
3,2,2,0,1,2,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
2,2,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
2,3,2,0,2,2,0,"Skipper (đi nhanh, ít học)"
2,3,2,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
1,3,3,0,4,2,0,"Skipper (đi nhanh, ít học)"
2,1,0,1,4,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,1,4,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
3,2,1,0,4,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
2,2,1,1,4,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
3,2,0,1,5,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
3,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,1,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
3,3,1,1,1,2,0,"Skipper (đi nhanh, ít học)"
1,1,0,3,5,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,1,1,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,2,3,2,0,"Skipper (đi nhanh, ít học)"
3,0,0,3,3,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
4,1,0,1,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,1,0,0,"Skipper (đi nhanh, ít học)"
0,3,1,0,3,1,0,"Skipper (đi nhanh, ít học)"
0,2,2,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,2,0,1,5,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,0,5,1,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,6,0,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,5,0,0,"Skipper (đi nhanh, ít học)"
2,1,1,1,5,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
0,5,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,3,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,1,4,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,2,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,1,1,2,0,"Skipper (đi nhanh, ít học)"
3,0,0,1,4,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,1,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,1,6,0,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
3,2,0,1,5,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,2,1,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
2,3,0,0,2,3,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
2,2,2,2,1,1,0,"Skipper (đi nhanh, ít học)"
0,2,0,0,5,2,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
1,4,2,1,2,2,0,"Skipper (đi nhanh, ít học)"
4,3,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,1,1,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,3,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
4,1,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
2,2,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,5,0,0,"Skipper (đi nhanh, ít học)"
2,2,1,1,4,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,4,0,1,3,2,0,"Skipper (đi nhanh, ít học)"
0,2,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,2,2,1,3,1,0,"Skipper (đi nhanh, ít học)"
3,0,0,3,4,0,0,"Skipper (đi nhanh, ít học)"
0,3,2,0,4,2,0,"Skipper (đi nhanh, ít học)"
2,3,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,3,3,0,1,2,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
4,1,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,2,5,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
3,3,2,0,5,1,0,"Skipper (đi nhanh, ít học)"
4,2,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
4,0,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,1,4,0,0,"Skipper (đi nhanh, ít học)"
2,2,0,3,5,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,1,4,0,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,2,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
3,3,1,1,4,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,1,5,2,0,"Skipper (đi nhanh, ít học)"
2,1,0,1,2,0,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
3,2,2,2,4,3,0,"Skipper (đi nhanh, ít học)"
2,1,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
4,3,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,4,2,0,2,2,0,"Skipper (đi nhanh, ít học)"
2,0,0,2,5,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
2,3,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,1,3,2,0,"Skipper (đi nhanh, ít học)"
1,2,2,0,4,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
2,2,1,0,6,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,2,4,0,0,"Skipper (đi nhanh, ít học)"
1,2,0,1,5,0,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
3,2,0,2,4,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,3,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,3,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,3,0,0,"Skipper (đi nhanh, ít học)"
3,1,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,3,1,3,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
0,2,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,2,0,0,3,2,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,1,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
3,2,0,1,2,2,0,"Skipper (đi nhanh, ít học)"
3,2,1,1,4,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,1,2,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,1,5,0,0,"Skipper (đi nhanh, ít học)"
1,1,0,1,6,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,1,1,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,3,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
3,2,2,1,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,1,6,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
2,3,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,4,3,0,1,2,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,2,0,2,2,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,3,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,3,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
3,0,0,2,2,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,3,1,1,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,1,2,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,5,0,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,1,4,1,0,"Skipper (đi nhanh, ít học)"
1,4,1,1,2,0,0,"Skipper (đi nhanh, ít học)"
0,2,2,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,2,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
0,3,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,6,1,0,"Skipper (đi nhanh, ít học)"
2,3,2,1,2,2,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
